Torque,Biceps,Triceps,Envelope
-1.92092,3.66211E-05,6.10352E-05,-3.36693
-1.95486,2.99072E-05,5.76782E-05,-3.36415
-1.99559,3.78418E-05,6.56128E-05,-3.36139
-2.02953,3.32642E-05,6.89697E-05,-3.35864
-2.17207,2.59399E-05,6.16455E-05,-3.35591
-2.17207,3.23486E-05,6.04248E-05,-3.35319
-2.0974,3.479E-05,5.79834E-05,-3.35049
-1.86662,3.44849E-05,5.67627E-05,-3.3478
-1.92771,3.69263E-05,5.67627E-05,-3.34513
-1.78517,2.19727E-05,5.52368E-05,-3.34247
-1.80553,2.68555E-05,5.49316E-05,-3.33983
-1.99559,3.72314E-05,6.073E-05,-3.3372
-2.15849,3.479E-05,5.40161E-05,-3.33459
-2.0431,3.44849E-05,6.28662E-05,-3.33199
-2.08383,3.84521E-05,6.68335E-05,-3.3294
-2.14492,3.479E-05,6.50024E-05,-3.32683
-2.0974,3.90625E-05,8.30078E-05,-3.32427
-1.79196,3.72314E-05,7.26318E-05,-3.32172
-1.84626,3.63159E-05,6.62231E-05,-3.31919
-1.87341,2.99072E-05,7.14111E-05,-3.31666
-1.70372,3.54004E-05,6.04248E-05,-3.31415
-1.80553,3.08228E-05,5.98145E-05,-3.31165
-2.30782,2.99072E-05,5.58472E-05,-3.30916
-2.01595,3.2959E-05,5.46265E-05,-3.30668
-2.09062,3.38745E-05,5.52368E-05,-3.30421
-2.13134,4.3335E-05,6.65283E-05,-3.30175
-1.88699,3.78418E-05,5.37109E-05,-3.2993
-1.84626,3.75366E-05,6.5918E-05,-3.29686
-1.8259,2.92969E-05,5.98145E-05,-3.29442
-1.90056,3.32642E-05,5.85937E-05,-3.29199
-1.84626,3.69263E-05,5.92041E-05,-3.28957
-1.83947,3.78418E-05,6.5918E-05,-3.28716
-1.9888,3.2959E-05,5.98145E-05,-3.28475
-2.31461,3.32642E-05,6.2561E-05,-3.28235
-2.02953,3.20435E-05,6.13403E-05,-3.27995
-2.15171,3.479E-05,6.71387E-05,-3.27756
-1.97523,3.78418E-05,5.92041E-05,-3.27517
-1.81232,2.86865E-05,5.7373E-05,-3.27278
-1.80553,3.14331E-05,6.7749E-05,-3.2704
-1.79875,2.04468E-05,5.70679E-05,-3.26802
-1.9345,2.74658E-05,5.06592E-05,-3.26564
-1.9345,2.71606E-05,5.85937E-05,-3.26326
-1.9888,3.05176E-05,4.94385E-05,-3.26088
-2.06347,3.38745E-05,5.18799E-05,-3.2585
